problem,z3,msat,minisat-ml,minisat,batsat,z3.time,msat.time,minisat-ml.time,minisat.time,batsat.time
benchs/satcomp-18/final/Zhou/si2-r001-m200-09.cnf,unknown,error,sat,sat,sat,300.04,10.48,21.36,6.12,8.01
benchs/satcomp-18/final/Zhou/si2-r001-m200-00.cnf,sat,error,sat,sat,sat,101.23,9.67,47.04,6.52,9.12
benchs/satcomp-18/final/Zhou/si2-m4Dr2-m256-08.cnf,sat,error,sat,sat,sat,43.65,8.44,27.76,18.58,24.78
benchs/satcomp-18/final/Zhou/si2-b06m-m1000-03.cnf,sat,sat,sat,sat,sat,6.42,51.81,5.06,0.96,1.48
benchs/satcomp-18/final/Zhou/si2-b03m-m800-03.cnf,sat,sat,sat,sat,sat,124.52,29.60,4.39,0.89,1.42
benchs/satcomp-18/final/Zhou/si2-b03m-m400-03.cnf,sat,sat,sat,sat,sat,15.73,7.87,2.74,0.59,0.86
benchs/satcomp-18/final/Zhou/ramsey-32-4.cnf,sat,error,error,unknown,unknown,2.40,301.01,301.01,300.02,300.02
benchs/satcomp-18/final/Zhou/ramsey-30-4.cnf,sat,error,error,unknown,unknown,0.96,301.01,301.01,300.02,300.02
benchs/satcomp-18/final/Zhou/queen8-8-9.cnf,sat,sat,sat,sat,sat,5.28,273.47,9.42,2.03,2.91
benchs/satcomp-18/final/Zhou/patat-08-comp-3.cnf,unknown,error,sat,sat,sat,300.02,33.63,27.89,11.35,15.39
benchs/satcomp-18/final/Zhou/ortholatin-7.cnf,sat,error,error,unknown,unknown,73.27,281.89,301.01,300.01,300.04
benchs/satcomp-18/final/Zhou/magicSquare-9_glb.cnf,unknown,sat,sat,sat,sat,300.02,25.43,84.04,33.28,43.66
benchs/satcomp-18/final/Zhou/magicSquare-8_glb.cnf,unknown,sat,sat,sat,sat,300.02,30.63,14.14,4.63,6.45
benchs/satcomp-18/final/Zhou/lei450-05b-05.cnf,sat,error,sat,sat,sat,2.02,172.53,163.29,51.92,68.33
benchs/satcomp-18/final/Zhou/frb35-17-5_ext.cnf,sat,error,error,sat,sat,40.80,163.27,301.01,18.61,24.96
benchs/satcomp-18/final/Zhou/frb35-17-5-mgd_ext.cnf,sat,error,error,sat,unknown,24.58,157.08,301.01,238.37,300.05
benchs/satcomp-18/final/Zhou/bibd-8-70-35-4-15_glb.cnf,sat,error,sat,sat,sat,113.55,177.39,214.64,151.49,210.55
benchs/satcomp-18/final/Zhou/bibd-19-57-9-3-1_glb.cnf,sat,error,error,unknown,unknown,1.73,93.55,301.02,300.05,300.05
benchs/satcomp-18/final/Zhou/bibd-16-80-15-3-2_glb.cnf,sat,error,sat,sat,sat,247.27,8.61,40.76,12.40,16.13
benchs/satcomp-18/final/Soos/apn-sbox6-cut5-helpbox30.cnf,unknown,error,error,unknown,unknown,300.03,99.90,301.01,300.04,300.03
benchs/satcomp-18/final/Soos/apn-sbox6-cut5-helpbox29.cnf,unknown,error,error,unknown,unknown,300.03,105.55,301.01,300.05,300.03
benchs/satcomp-18/final/Soos/apn-sbox6-cut5-helpbox28.cnf,unknown,error,error,unknown,unknown,300.02,100.46,301.02,300.04,300.04
benchs/satcomp-18/final/Soos/apn-sbox6-cut5-helpbox26.cnf,unknown,error,error,unknown,unknown,300.03,101.61,301.02,300.05,300.04
benchs/satcomp-18/final/Soos/apn-sbox6-cut5-helpbox23.cnf,unknown,error,error,unknown,unknown,300.02,94.98,301.01,300.04,300.03
benchs/satcomp-18/final/Soos/apn-sbox6-cut4-helpbox31.cnf,unknown,error,error,unknown,unknown,300.02,248.81,301.01,300.04,300.03
benchs/satcomp-18/final/Soos/apn-sbox6-cut4-helpbox30.cnf,unknown,error,error,unknown,unknown,300.02,233.90,301.01,300.04,300.04
benchs/satcomp-18/final/Soos/apn-sbox6-cut4-helpbox29.cnf,unknown,error,error,unknown,unknown,300.02,206.84,301.01,300.05,300.04
benchs/satcomp-18/final/Soos/apn-sbox6-cut4-helpbox28.cnf,unknown,error,error,unknown,unknown,300.03,261.54,301.01,300.07,300.03
benchs/satcomp-18/final/Soos/apn-sbox6-cut4-helpbox26.cnf,unknown,error,error,unknown,unknown,300.03,278.33,301.01,300.04,300.03
benchs/satcomp-18/final/Soos/apn-sbox6-cut4-helpbox23.cnf,unknown,error,error,unknown,unknown,300.03,274.14,301.01,300.05,300.03
benchs/satcomp-18/final/Soos/apn-sbox6-cut3-helpbox31.cnf,unknown,error,error,unknown,unknown,300.02,301.02,301.01,300.06,300.03
benchs/satcomp-18/final/Soos/apn-sbox6-cut3-helpbox30.cnf,unknown,error,error,unknown,unknown,300.03,301.02,301.01,300.07,300.04
benchs/satcomp-18/final/Soos/apn-sbox6-cut3-helpbox29.cnf,unknown,error,error,unknown,unknown,300.02,170.60,301.02,300.07,300.04
benchs/satcomp-18/final/Soos/apn-sbox6-cut3-helpbox28.cnf,unknown,error,error,unknown,unknown,300.03,189.01,301.01,300.08,300.03
benchs/satcomp-18/final/Soos/apn-sbox6-cut3-helpbox26.cnf,unknown,error,error,unknown,unknown,300.03,180.93,301.01,300.06,300.04
benchs/satcomp-18/final/Soos/apn-sbox6-cut3-helpbox23.cnf,unknown,error,error,unknown,unknown,300.02,240.24,301.01,300.08,300.03
benchs/satcomp-18/final/Soos/apn-sbox5-cut5-symmbreak.cnf,unknown,error,error,unknown,unknown,300.02,301.02,301.01,300.02,300.04
benchs/satcomp-18/final/Soos/apn-sbox5-cut4-symmbreak.cnf,unknown,error,error,unknown,unknown,300.02,301.01,301.01,300.02,300.03
benchs/satcomp-18/final/Soos/apn-sbox5-cut3-symmbreak.cnf,unknown,error,error,unknown,unknown,300.02,301.02,301.01,300.02,300.03
benchs/satcomp-18/final/Johnson/sted5_0x24204-70.cnf,unknown,error,error,unknown,unknown,300.02,301.02,301.01,300.05,300.03
benchs/satcomp-18/final/Johnson/sted5_0x24204-60.cnf,unknown,error,error,unknown,unknown,300.02,301.02,301.01,300.01,300.03
benchs/satcomp-18/final/Johnson/sted5_0x24204-50.cnf,unknown,error,error,unknown,unknown,300.02,301.02,301.01,300.01,300.02
benchs/satcomp-18/final/Johnson/sted5_0x1e3-60.cnf,unknown,error,error,unknown,unknown,300.02,147.94,301.01,300.01,300.03
benchs/satcomp-18/final/Johnson/sted5_0x1e3-40.cnf,unknown,error,error,unknown,unknown,300.02,151.22,301.01,300.01,300.03
benchs/satcomp-18/final/Johnson/sted5_0x1e3-20.cnf,unknown,error,error,unknown,unknown,300.02,171.55,301.02,300.02,300.03
benchs/satcomp-18/final/Johnson/sted5_0x0-70.cnf,unknown,error,error,unknown,unknown,300.02,283.68,301.01,300.01,300.03
benchs/satcomp-18/final/Johnson/sted5_0x0-60.cnf,unknown,error,error,unknown,unknown,300.02,201.14,301.01,300.01,300.03
benchs/satcomp-18/final/Johnson/sted5_0x0-50.cnf,unknown,error,error,unknown,unknown,300.02,142.77,301.01,300.01,300.03
benchs/satcomp-18/final/Johnson/sted5_0x0-40.cnf,sat,sat,sat,sat,sat,22.42,17.69,47.33,22.64,12.39
benchs/satcomp-18/final/Johnson/sted1_0x24204-380.cnf,unknown,error,error,unknown,unknown,300.02,301.01,301.01,300.03,300.04
benchs/satcomp-18/final/Johnson/sted1_0x24204-350.cnf,unknown,error,error,unknown,unknown,300.02,301.01,301.01,300.02,300.04
benchs/satcomp-18/final/Johnson/sted1_0x24204-330.cnf,unknown,error,error,unknown,unknown,300.02,301.01,301.01,300.03,300.03
benchs/satcomp-18/final/Johnson/sted1_0x1e3-300.cnf,unknown,error,error,unknown,unknown,300.03,299.28,301.02,300.02,300.04
benchs/satcomp-18/final/Johnson/sted1_0x1e3-200.cnf,unknown,error,error,unknown,unknown,300.02,142.77,301.01,300.03,300.03
benchs/satcomp-18/final/Johnson/sted1_0x1e3-100.cnf,unknown,error,error,unknown,unknown,300.02,104.86,301.01,300.02,300.03
benchs/satcomp-18/final/Johnson/sted1_0x0-420.cnf,unknown,error,error,unknown,unknown,300.02,301.02,301.01,300.02,300.03
benchs/satcomp-18/final/Johnson/sted1_0x0-380.cnf,unknown,error,error,unknown,unknown,300.03,301.02,301.01,300.03,300.04
benchs/satcomp-18/final/Johnson/sted1_0x0-350.cnf,unknown,error,error,unknown,unknown,300.02,301.02,301.01,300.02,300.04
benchs/satcomp-18/final/Johnson/sted1_0x0-330.cnf,unknown,error,error,unknown,unknown,300.02,301.02,301.01,300.03,300.04
benchs/satcomp-18/final/Collatz/mod8-bbd-zbd.rules.7-7.cnf,unknown,error,error,unknown,unknown,300.03,301.02,301.01,300.07,300.04
benchs/satcomp-18/final/Collatz/mod8-abd-yad.rules.7-7.cnf,unknown,sat,sat,sat,sat,300.02,126.44,83.06,263.67,96.32
benchs/satcomp-18/final/Collatz/less-cy-caa.rules.6-4.cnf,sat,error,error,unknown,unknown,75.54,301.01,301.01,300.03,300.04
benchs/satcomp-18/final/Collatz/less-cy-caa.rules.4-9.cnf,sat,error,error,unknown,unknown,27.72,300.70,301.01,300.03,300.04
benchs/satcomp-18/final/Collatz/full-cy-caa.rules.7-7.cnf,unknown,error,error,sat,sat,300.03,301.01,301.01,40.28,53.55
benchs/satcomp-18/final/Collatz/full-by-za.rules.5-7.cnf,unknown,error,error,unknown,unknown,300.02,301.01,301.01,300.03,300.04
benchs/satcomp-18/final/Collatz/full-ax-xa.rules.7-7.cnf,sat,error,sat,sat,unknown,29.83,301.01,85.07,13.46,300.03
benchs/satcomp-18/final/Collatz/cz-d-4-7-5.cnf,unknown,error,error,unknown,unknown,300.02,301.02,301.01,300.02,300.04
benchs/satcomp-18/final/Collatz/cz-alt-3-7.cnf,unknown,error,error,unknown,unknown,300.02,301.01,301.01,300.02,300.03
benchs/satcomp-18/final/Collatz/cz-3-7-7.cnf,unknown,error,error,unknown,unknown,300.02,301.02,301.01,300.02,300.03
benchs/satcomp-18/final/Collatz/cannonball-opt-y.rules.4-10.cnf,unknown,error,error,unknown,unknown,300.02,301.01,301.01,300.03,300.03
benchs/satcomp-18/final/Collatz/bz-X-4-7-6.cnf,unknown,error,error,unknown,unknown,300.02,301.02,301.01,300.03,300.03
benchs/satcomp-18/final/Collatz/by-alt-5-7.cnf,unknown,error,error,unknown,unknown,300.02,301.01,301.01,300.03,300.04
benchs/satcomp-18/final/Collatz/by-X-2-7-100.cnf,unknown,error,error,unknown,unknown,300.03,8.89,301.01,300.04,300.06
benchs/satcomp-18/final/Collatz/bx-d-4-7-8.cnf,sat,error,error,sat,sat,243.88,301.02,301.01,99.59,141.23
benchs/satcomp-18/final/Collatz/bx-d-4-7-6.cnf,sat,error,error,unknown,unknown,77.55,301.02,301.01,300.02,300.03
benchs/satcomp-18/final/Collatz/ax-d-4-7-5.cnf,unknown,error,error,unknown,unknown,300.02,301.02,301.01,300.03,300.04
benchs/satcomp-18/final/Collatz/ad-A-3-7-17.cnf,unknown,error,error,unknown,unknown,300.02,301.01,301.01,300.02,300.03
benchs/satcomp-18/final/Collatz/C3-2-31.cnf,unknown,sat,sat,sat,sat,300.02,187.46,50.28,15.16,19.74
benchs/satcomp-18/final/Collatz/5or7mod8.rules.7-7.cnf,unknown,error,error,unknown,unknown,300.02,301.02,301.01,300.06,300.03
benchs/satcomp-18/final/Collatz/1mod8.rules.7-7.cnf,unknown,error,error,unknown,unknown,300.03,300.06,301.01,300.07,300.05
benchs/satcomp-18/final/CRIL/T98.2.0.cnf,unknown,error,error,unknown,unknown,300.13,8.97,301.16,300.95,300.07
benchs/satcomp-18/final/CRIL/T96.2.0.cnf,unknown,error,error,unknown,unknown,300.12,9.05,301.35,300.92,300.06
benchs/satcomp-18/final/CRIL/T93.2.0.cnf,unknown,error,error,unknown,unknown,300.11,8.92,301.02,300.87,300.06
benchs/satcomp-18/final/CRIL/T92.2.0.cnf,unknown,error,error,unknown,unknown,300.12,8.87,301.03,300.90,300.05
benchs/satcomp-18/final/CRIL/T90.2.0.cnf,unknown,error,error,unknown,unknown,300.13,9.21,301.42,300.89,300.10
benchs/satcomp-18/final/CRIL/T87.2.0.cnf,unknown,error,error,error,unknown,300.11,8.96,301.03,301.05,300.06
benchs/satcomp-18/final/CRIL/T86.2.0.cnf,unknown,error,error,unknown,unknown,300.12,8.81,301.58,300.89,300.08
benchs/satcomp-18/final/CRIL/T84.2.0.cnf,unknown,error,error,unknown,unknown,300.11,9.58,301.03,300.96,300.05
benchs/satcomp-18/final/CRIL/T82.2.0.cnf,unknown,error,error,unknown,unknown,300.19,9.39,301.04,300.94,300.06
benchs/satcomp-18/final/CRIL/T77.2.0.cnf,unknown,error,error,unknown,unknown,300.15,9.14,301.04,300.88,300.05
benchs/satcomp-18/final/CRIL/T62.2.0.cnf,unknown,error,error,unknown,unknown,300.11,8.76,301.02,300.98,300.06
benchs/satcomp-18/final/CRIL/T56.2.0.cnf,unknown,error,error,unknown,unknown,300.19,9.33,301.22,301.16,300.08
benchs/satcomp-18/final/CRIL/T129.2.0.cnf,unknown,error,error,unknown,unknown,300.11,8.94,301.03,300.95,300.07
benchs/satcomp-18/final/CRIL/T125.2.0.cnf,unknown,error,error,unknown,unknown,300.11,9.31,301.28,301.25,300.08
benchs/satcomp-18/final/CRIL/T122.2.0.cnf,unknown,error,error,unknown,unknown,300.13,9.00,301.02,300.89,300.05
benchs/satcomp-18/final/CRIL/T117.2.0.cnf,unknown,error,error,unknown,unknown,300.18,9.13,301.05,300.98,300.10
benchs/satcomp-18/final/CRIL/T116.2.0.cnf,unknown,error,error,unknown,unknown,300.13,9.34,301.07,300.92,300.06
benchs/satcomp-18/final/CRIL/T107.2.0.cnf,unknown,error,error,unknown,unknown,300.13,9.03,301.14,300.94,300.05
benchs/satcomp-18/final/CRIL/T105.2.0.cnf,unknown,error,error,unknown,unknown,300.11,9.45,301.02,300.96,300.07
benchs/satcomp-18/final/CRIL/T103.2.0.cnf,unknown,error,error,unknown,unknown,300.19,9.89,301.14,300.92,300.05
benchs/satcomp-18/Zha/prime_200560490131.cnf,unsat,error,error,unknown,unknown,242.98,161.50,301.01,300.01,300.02
benchs/satcomp-18/Zha/prime_119218851371.cnf,unsat,error,error,unsat,unknown,161.54,116.73,301.01,237.05,300.03
benchs/satcomp-18/Zha/factoring94418953x321534781.cnf,unknown,error,error,unknown,unknown,300.02,140.01,301.01,300.01,300.02
benchs/satcomp-18/Zha/factoring87654321x12345678.cnf,unknown,error,error,unknown,sat,300.02,107.95,301.01,300.01,178.84
benchs/satcomp-18/Zha/factoring54018521x562448657.cnf,unknown,error,error,unknown,unknown,300.02,99.73,301.01,300.01,300.03
benchs/satcomp-18/Zha/factoring39916801x54018521.cnf,unknown,error,error,unknown,unknown,300.02,101.35,301.01,300.01,300.02
benchs/satcomp-18/Zha/factoring29986577x29986577.cnf,unknown,error,error,sat,unknown,300.02,121.51,301.01,184.27,300.02
benchs/satcomp-18/Zha/Karatsuba7654321x1234567.cnf,unknown,error,error,unknown,unknown,300.02,301.01,301.01,300.01,300.03
benchs/satcomp-18/Zha/Karatsuba6972593x13466917.cnf,unknown,error,error,unknown,unknown,300.02,301.01,301.02,300.01,300.03
benchs/satcomp-18/Zha/Karatsuba4477457x5308417.cnf,sat,error,error,unknown,unknown,16.52,212.44,301.01,300.01,300.03
benchs/satcomp-18/Xiao/Nb8T63.cnf,sat,error,sat,sat,sat,81.94,94.66,0.92,0.19,0.23
benchs/satcomp-18/Xiao/Nb8T62.cnf,sat,error,error,unknown,unknown,168.64,90.22,301.02,300.07,300.08
benchs/satcomp-18/Xiao/Nb8T61.cnf,sat,error,error,unknown,unknown,188.13,91.03,301.02,300.06,300.07
benchs/satcomp-18/Xiao/Nb8T60.cnf,sat,error,error,unknown,unknown,10.34,116.56,301.02,300.07,300.06
benchs/satcomp-18/Xiao/Nb54T6.cnf,unknown,error,error,unknown,unknown,300.12,9.37,301.02,300.65,300.31
benchs/satcomp-18/Xiao/Nb52T6.cnf,unknown,error,error,unknown,unknown,300.11,8.78,301.02,300.57,300.07
benchs/satcomp-18/Xiao/Nb51T6.cnf,unknown,error,error,unknown,unknown,300.10,8.84,301.02,300.69,300.08
benchs/satcomp-18/Xiao/Nb49T6.cnf,unknown,error,error,unknown,unknown,300.11,9.36,301.05,300.56,300.06
benchs/satcomp-18/Xiao/Nb45T6.cnf,unknown,error,error,unknown,unknown,300.09,8.67,301.02,300.41,300.06
benchs/satcomp-18/Xiao/Nb44T6.cnf,unknown,error,error,unknown,unknown,300.10,9.37,301.08,300.30,300.04
benchs/satcomp-18/Xiao/Nb42T6.cnf,unknown,error,error,unknown,unknown,300.07,9.18,301.02,300.32,300.05
benchs/satcomp-18/Xiao/Nb39T6.cnf,unknown,error,error,unknown,unknown,300.06,8.74,301.03,300.24,300.05
benchs/satcomp-18/Xiao/Nb37T6.cnf,unknown,error,error,unknown,unknown,300.07,8.99,301.05,300.21,300.04
benchs/satcomp-18/Xiao/Nb29T6.cnf,unknown,error,error,unknown,unknown,300.04,8.34,301.02,300.10,300.04
benchs/satcomp-18/Xiao/Nb27T6.cnf,unknown,error,error,unknown,unknown,300.04,31.92,301.01,300.08,300.04
benchs/satcomp-18/Xiao/Nb14T194.cnf,unknown,error,sat,sat,sat,300.09,8.55,16.66,3.36,3.99
benchs/satcomp-18/Xiao/Nb13T166.cnf,unknown,error,error,unknown,unknown,300.08,8.87,301.02,300.39,300.05
benchs/satcomp-18/Xiao/Nb13T165.cnf,unknown,error,error,unknown,unknown,300.08,8.93,301.02,300.34,300.05
benchs/satcomp-18/Xiao/Nb11T118.cnf,unknown,error,sat,sat,sat,300.04,8.37,4.80,0.96,1.16
benchs/satcomp-18/Scheel/cms-scheel-md5-families-r24-c8-p0-3-5-6-14-16-18-19.cnf,unknown,error,error,unknown,unknown,300.03,193.10,301.06,300.03,300.03
benchs/satcomp-18/Scheel/cms-scheel-md5-families-r24-c7-p1-5-6-12-16-18-19.cnf,unknown,error,error,unknown,unknown,300.03,153.55,301.01,300.03,300.03
benchs/satcomp-18/Scheel/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf,unknown,error,error,unknown,unsat,300.03,198.03,301.01,300.02,2.88
benchs/satcomp-18/Scheel/cms-scheel-md5-families-r24-c6-p1-4-6-13-14-18.cnf,unknown,error,error,unknown,unknown,300.02,149.27,301.02,300.04,300.03
benchs/satcomp-18/Scheel/cms-scheel-md5-families-r24-c5-p6-11-15-16-19.cnf,unknown,error,error,unknown,unsat,300.03,146.35,301.03,300.03,2.05
